Gender;Time_pressure;Experiment;Dice_report;Report_time;Within_time;Cheerful;active;active2;happy;loving;worried;tired;tired2;angry;calm;gloomy;bored;sad;tense;angry2;satisfied;pos_mood;neg_mood;filter_$
2.00;1.00;1.00;6.00;13.68;1.00;4.00;4.00;4.00;5.00;4.00;1.00;1.00;1.00;1.00;4.00;1.00;1.00;2.00;2.00;1.00;5.00;4.29;1.22;0
2.00;1.00;1.00;6.00;10.50;1.00;4.00;3.00;4.00;4.00;4.00;4.00;2.00;4.00;2.00;3.00;1.00;2.00;2.00;3.00;3.00;3.00;3.57;2.56;0
2.00;1.00;1.00;2.00;17.02;1.00;5.00;5.00;5.00;4.00;5.00;1.00;3.00;1.00;1.00;2.00;3.00;3.00;1.00;3.00;3.00;5.00;4.43;2.11;0
1.00;1.00;1.00;4.00;13.20;1.00;5.00;4.00;4.00;4.00;4.00;2.00;1.00;1.00;1.00;3.00;1.00;1.00;1.00;1.00;1.00;4.00;4.00;1.11;0
2.00;1.00;1.00;5.00;11.66;1.00;5.00;5.00;5.00;5.00;5.00;2.00;1.00;1.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;5.00;1.11;0
2.00;1.00;1.00;5.00;16.44;1.00;5.00;3.00;5.00;4.00;2.00;1.00;2.00;2.00;1.00;5.00;1.00;1.00;1.00;1.00;1.00;5.00;4.14;1.22;0
1.00;1.00;1.00;6.00;15.59;1.00;5.00;4.00;2.00;5.00;5.00;1.00;1.00;2.00;1.00;4.00;1.00;1.00;1.00;2.00;1.00;4.00;4.14;1.22;0
2.00;0.00;2.00;1.00;28.26;1.00;2.00;1.00;1.00;3.00;3.00;2.00;5.00;5.00;3.00;3.00;1.00;2.00;2.00;2.00;2.00;2.00;2.14;2.67;1
2.00;0.00;2.00;1.00;4.86;1.00;2.00;1.00;1.00;4.00;5.00;1.00;3.00;3.00;1.00;4.00;1.00;2.00;1.00;1.00;1.00;3.00;2.86;1.56;1
2.00;0.00;2.00;1.00;10.33;1.00;2.00;2.00;3.00;4.00;3.00;1.00;4.00;4.00;3.00;5.00;2.00;1.00;1.00;2.00;3.00;3.00;3.14;2.33;1
2.00;0.00;2.00;2.00;9.03;1.00;2.00;1.00;2.00;2.00;1.00;3.00;1.00;1.00;3.00;3.00;3.00;2.00;3.00;2.00;3.00;2.00;1.86;2.33;1
2.00;0.00;2.00;3.00;11.17;1.00;2.00;2.00;2.00;3.00;2.00;3.00;4.00;4.00;1.00;2.00;4.00;2.00;2.00;3.00;1.00;3.00;2.29;2.67;1
